admission_id,applicant_id,program_id,admission_method_id,admission_year_id,application_date,admission_score,admission_status
1,1,5,2,1,2024-05-12,24.30,Accepted
2,2,5,1,1,2024-07-21,20.70,Waitlisted
3,3,3,1,1,2024-07-27,20.00,Rejected
4,4,2,2,1,2024-04-29,28.50,Accepted
5,5,3,2,1,2024-04-26,28.00,Accepted
6,6,3,1,1,2024-07-17,19.50,Rejected
7,7,2,2,1,2024-05-19,24.80,Accepted
8,8,4,1,1,2024-07-22,14.90,Rejected
9,8,3,2,1,2024-06-11,20.00,Rejected
10,9,7,1,1,2024-07-26,22.40,Accepted
11,9,5,2,1,2024-05-11,25.50,Rejected
12,9,1,1,1,2024-07-25,22.70,Rejected
13,10,3,2,1,2024-05-12,23.00,Rejected
14,10,8,1,1,2024-07-19,19.80,Rejected
15,10,1,1,1,2024-07-19,21.65,Rejected
16,11,7,1,1,2024-07-26,24.20,Accepted
17,12,4,3,1,2024-04-13,,Accepted
18,12,2,2,1,2024-05-13,28.80,Rejected
19,13,6,2,1,2024-03-20,23.30,Accepted
20,13,9,1,1,2024-07-25,21.15,Rejected
21,13,1,2,1,2024-03-25,24.30,Rejected
22,14,2,1,1,2024-07-18,17.90,Rejected
23,15,8,2,1,2024-03-18,27.90,Accepted
24,15,1,1,1,2024-07-22,25.50,Rejected
25,16,8,2,1,2024-04-22,22.50,Rejected
26,16,9,1,1,2024-07-22,15.85,Rejected
27,17,1,1,1,2024-07-16,22.60,Rejected
28,17,3,2,1,2024-03-23,25.40,Accepted
29,18,5,2,1,2024-04-20,24.30,Accepted
30,18,2,1,1,2024-07-18,21.50,Rejected
31,18,1,1,1,2024-07-16,21.80,Rejected
32,19,4,1,1,2024-07-25,27.15,Accepted
33,19,8,2,1,2024-03-31,28.60,Rejected
34,20,1,2,1,2024-05-03,25.40,Waitlisted
35,20,6,2,1,2024-03-24,23.00,Accepted
36,20,3,2,1,2024-03-26,25.10,Rejected
37,21,9,1,1,2024-07-26,15.90,Rejected
38,21,2,2,1,2024-04-04,20.50,Rejected
39,22,3,2,1,2024-03-30,25.10,Accepted
40,23,5,1,1,2024-07-20,21.70,Accepted
41,23,7,1,1,2024-07-22,22.00,Rejected
42,24,1,2,1,2024-04-19,24.70,Rejected
43,24,3,1,1,2024-07-21,23.40,Accepted
44,24,1,1,1,2024-07-19,21.85,Rejected
45,25,6,1,1,2024-07-17,21.95,Accepted
46,25,8,2,1,2024-04-21,24.20,Rejected
47,26,5,2,1,2024-03-17,28.80,Accepted
48,26,4,1,1,2024-07-26,23.60,Waitlisted
49,27,3,1,1,2024-07-27,22.25,Rejected
50,28,8,2,1,2024-05-26,25.90,Accepted
51,28,1,2,1,2024-06-13,27.70,Rejected
52,28,7,1,1,2024-07-16,26.60,Rejected
53,29,4,1,1,2024-07-19,19.70,Rejected
54,29,2,1,1,2024-07-20,20.00,Rejected
55,30,3,2,1,2024-05-24,23.70,Rejected
56,30,8,1,1,2024-07-24,19.20,Rejected
57,30,4,1,1,2024-07-24,19.00,Rejected
58,31,8,2,1,2024-06-12,21.40,Rejected
59,31,9,2,1,2024-05-17,23.50,Accepted
60,32,2,2,1,2024-04-11,22.20,Rejected
61,32,2,1,1,2024-07-25,17.25,Rejected
62,32,1,2,1,2024-05-08,22.30,Rejected
63,33,4,2,1,2024-06-15,23.60,Rejected
64,33,2,1,1,2024-07-19,20.05,Rejected
65,34,1,1,1,2024-07-19,22.05,Rejected
66,35,8,1,1,2024-07-27,23.10,Accepted
67,36,7,2,1,2024-04-28,22.40,Accepted
68,36,1,1,1,2024-07-25,16.10,Rejected
69,37,7,1,1,2024-07-20,15.45,Rejected
70,37,1,1,1,2024-07-24,16.10,Rejected
71,37,3,1,1,2024-07-25,16.10,Rejected
72,38,6,2,1,2024-06-15,22.70,Accepted
73,38,7,2,1,2024-05-09,21.90,Rejected
74,38,3,2,1,2024-05-05,22.00,Rejected
75,39,8,1,1,2024-07-21,20.35,Rejected
76,39,3,2,1,2024-04-05,23.50,Rejected
77,40,3,1,1,2024-07-23,17.65,Rejected
78,40,9,1,1,2024-07-25,15.10,Rejected
79,40,7,1,1,2024-07-18,16.35,Rejected
80,41,5,2,2,2025-04-19,23.50,Accepted
81,41,8,2,2,2025-06-15,23.40,Rejected
82,41,5,1,2,2025-07-21,19.20,Rejected
83,42,1,2,2,2025-06-03,27.90,Accepted
84,42,1,1,2,2025-07-24,25.65,Rejected
85,42,4,2,2,2025-05-01,27.40,Rejected
