enrollment_id,admission_id,student_id,enrollment_date,enrollment_status
1,1,1,2024-08-28,Enrolled
2,4,2,2024-09-04,Enrolled
3,5,3,2024-09-11,Enrolled
4,7,,2024-09-03,Cancelled
5,10,4,2024-08-27,Enrolled
6,16,5,2024-09-05,Enrolled
7,17,6,2024-09-09,Enrolled
8,19,7,2024-09-11,Enrolled
9,23,8,2024-08-26,Enrolled
10,28,9,2024-08-31,Enrolled
11,29,10,2024-09-01,Enrolled
12,32,11,2024-09-07,Enrolled
13,35,,2024-09-10,Cancelled
14,39,12,2024-09-08,Enrolled
15,40,,2024-09-03,Cancelled
16,43,13,2024-09-04,Enrolled
17,45,14,2024-09-06,Enrolled
18,47,15,2024-09-10,Enrolled
19,50,16,2024-09-06,Enrolled
20,59,17,2024-08-29,Enrolled
21,66,18,2024-08-28,Enrolled
22,67,19,2024-09-10,Enrolled
23,72,20,2024-08-23,Enrolled
24,80,21,2025-09-06,Enrolled
25,83,22,2025-08-26,Enrolled
26,86,23,2025-09-06,Enrolled
27,90,24,2025-09-08,Enrolled
28,92,25,2025-08-27,Enrolled
29,99,,2025-08-26,Deferred
30,105,26,2025-09-03,Enrolled
31,109,,2025-08-29,Deferred
32,114,27,2025-09-12,Enrolled
33,116,28,2025-09-11,Enrolled
34,118,29,2025-08-26,Enrolled
35,123,30,2025-09-12,Enrolled
36,126,,2025-09-01,Cancelled
37,130,31,2025-08-29,Enrolled
38,134,32,2025-09-01,Enrolled
39,135,33,2025-09-06,Enrolled
40,143,,2025-08-31,Cancelled
41,144,34,2025-08-31,Enrolled
42,147,,2025-09-08,Deferred
43,150,,2025-09-08,Cancelled
44,153,35,2025-08-25,Enrolled
45,156,36,2025-09-04,Enrolled
46,159,37,2025-09-05,Enrolled
47,161,38,2026-08-28,Enrolled
48,163,39,2026-08-25,Enrolled
49,171,40,2026-09-02,Enrolled
50,172,41,2026-08-26,Enrolled
51,180,42,2026-09-01,Enrolled
52,189,43,2026-09-12,Enrolled
53,190,44,2026-09-01,Enrolled
54,191,45,2026-09-02,Enrolled
55,193,46,2026-08-31,Enrolled
56,198,47,2026-09-09,Enrolled
57,200,48,2026-08-28,Enrolled
58,203,49,2026-09-10,Enrolled
59,206,50,2026-09-09,Enrolled
60,208,51,2026-09-12,Enrolled
61,209,52,2026-09-12,Enrolled
62,211,53,2026-09-04,Enrolled
63,213,,2026-09-01,Cancelled
64,216,54,2026-09-02,Enrolled
65,218,55,2026-08-22,Enrolled
66,220,56,2026-08-31,Enrolled
67,222,57,2026-09-12,Enrolled
68,226,58,2026-08-31,Enrolled
69,228,59,2026-09-06,Enrolled
70,231,60,2026-08-31,Enrolled
71,234,61,2026-09-12,Enrolled
72,240,62,2026-09-01,Enrolled
73,243,63,2026-09-04,Enrolled
74,245,,2026-09-04,Deferred
