assignment_id,employee_id,department_id,position_id,start_date,end_date,is_primary
1,1,13,8,1995-08-15,2005-06-30,true
2,1,13,7,2005-07-01,2015-06-30,true
3,1,2,2,2015-07-01,2020-06-30,true
4,1,13,7,2015-07-01,,false
5,1,2,1,2020-07-01,,true
6,2,8,8,1998-08-15,2008-06-30,true
7,2,8,7,2008-07-01,2020-06-30,true
8,2,2,2,2020-07-01,,true
9,2,8,7,2020-07-01,,false
10,3,3,10,2001-03-01,2014-06-30,true
11,3,3,5,2014-07-01,,true
12,4,4,10,2006-03-01,2019-06-30,true
13,4,4,5,2019-07-01,,true
14,5,5,10,2004-03-01,2016-06-30,true
15,5,5,5,2016-07-01,,true
16,6,6,10,2003-03-01,2017-06-30,true
17,6,6,5,2017-07-01,,true
18,7,3,10,2014-03-01,,true
19,8,3,10,2017-03-01,,true
20,9,4,10,2019-03-01,,true
21,10,5,11,2012-03-01,2018-06-30,true
22,10,5,10,2018-07-01,,true
23,11,6,10,2016-03-01,2024-12-31,true
24,12,4,11,2021-03-01,,true
25,13,13,8,2003-08-15,2012-06-30,true
26,13,13,7,2012-07-01,2018-06-30,true
27,13,7,3,2018-07-01,,true
28,14,14,8,2010-08-15,2019-06-30,true
29,14,14,6,2019-07-01,,true
30,15,13,8,2015-08-15,,true
31,16,13,8,2013-08-15,2021-06-30,true
32,16,13,6,2021-07-01,,true
33,17,14,8,2009-08-15,2020-06-30,true
34,17,14,7,2020-07-01,,true
35,18,13,8,2012-08-15,2025-06-30,true
36,19,14,8,2020-08-15,,true
37,20,8,8,2004-08-15,2013-06-30,true
38,20,8,7,2013-07-01,2019-06-30,true
39,20,8,3,2019-07-01,,true
40,21,8,8,2011-08-15,,true
41,22,8,8,2007-08-15,2016-06-30,true
42,22,8,7,2016-07-01,2022-06-30,true
43,22,8,4,2022-07-01,,true
44,23,8,8,2012-08-15,,true
45,24,9,8,2006-08-15,2015-06-30,true
46,24,9,7,2015-07-01,2020-06-30,true
47,24,9,3,2020-07-01,,true
48,25,9,8,2016-08-15,,true
49,26,9,8,2008-08-15,,true
50,27,9,8,2013-08-15,,true
51,28,10,8,1990-08-15,2000-06-30,true
52,28,10,7,2000-07-01,2010-06-30,true
53,28,10,3,2010-07-01,2022-12-31,true
54,28,10,7,2023-01-01,2025-01-31,true
55,29,10,8,2002-08-15,2011-06-30,true
56,29,10,7,2011-07-01,2022-12-31,true
57,29,10,3,2023-01-01,,true
58,30,10,8,2012-08-15,,true
59,31,10,8,2016-08-15,,true
60,32,11,8,1998-08-15,2016-06-30,true
61,32,11,3,2016-07-01,,true
62,33,11,8,2005-08-15,,true
63,34,11,8,2011-08-15,,true
64,35,12,8,2000-08-15,2012-06-30,true
65,35,12,7,2012-07-01,2018-06-30,true
66,35,12,3,2018-07-01,,true
67,36,12,8,2017-08-15,,true
