class_id,class_code,course_id,semester_id,lecturer_id,max_capacity,room
1,GEN101-2024-1-01,1,1,33,60,B307
2,ENG101-2024-1-01,7,1,27,60,A504
3,MTH101-2024-1-01,10,1,35,60,A305
4,CS101-2024-1-01,12,1,17,45,A109
5,BUS101-2024-1-01,29,1,23,45,A409
6,LNG101-2024-1-01,43,1,25,45,A102
7,LNG102-2024-1-01,44,1,26,45,A110
8,CE101-2024-1-01,53,1,28,45,B309
9,GEN102-2024-2-01,2,2,32,60,B408
10,ENG102-2024-2-01,8,2,24,60,B410
11,MTH102-2024-2-01,11,2,36,60,C102
12,CS102-2024-2-01,13,2,16,45,C410
13,BUS102-2024-2-01,30,2,22,45,A401
14,BUS103-2024-2-01,31,2,20,45,C210
15,ACC101-2024-2-01,37,2,23,45,C506
16,LNG103-2024-2-01,45,2,27,45,C110
17,LNG104-2024-2-01,46,2,25,45,A106
18,CE102-2024-2-01,54,2,29,45,A102
19,CE103-2024-2-01,55,2,31,45,C510
20,ENG101-2024-3-01,7,3,24,30,A111
21,ENG102-2024-3-01,8,3,25,30,B303
22,MTH101-2024-3-01,10,3,35,30,C211
23,MTH102-2024-3-01,11,3,36,30,A504
24,CS102-2024-3-01,13,3,1,30,B106
25,GEN101-2025-1-01,1,4,33,60,C106
26,GEN103-2025-1-01,3,4,32,60,C508
27,ENG101-2025-1-01,7,4,24,60,B508
28,ENG201-2025-1-01,9,4,26,60,A201
29,MTH101-2025-1-01,10,4,36,60,A507
30,CS101-2025-1-01,12,4,19,45,C310
31,CS201-2025-1-01,14,4,15,45,C406
32,CS202-2025-1-01,15,4,1,45,C109
33,SE201-2025-1-01,20,4,14,45,C506
34,DS201-2025-1-01,24,4,15,45,A410
35,BUS101-2025-1-01,29,4,22,45,C209
36,BUS201-2025-1-01,32,4,22,45,B505
37,ACC101-2025-1-01,37,4,23,45,A503
38,ACC201-2025-1-01,38,4,22,45,A301
39,LNG101-2025-1-01,43,4,25,45,C203
40,LNG102-2025-1-01,44,4,25,45,C301
41,LNG201-2025-1-01,47,4,26,45,B508
42,LNG202-2025-1-01,48,4,27,45,A409
43,CE101-2025-1-01,53,4,30,45,C301
44,CE201-2025-1-01,56,4,29,45,B104
45,CE202-2025-1-01,57,4,30,45,C301
46,GEN102-2025-2-01,2,5,33,60,A101
47,GEN104-2025-2-01,4,5,32,60,C104
48,GEN105-2025-2-01,5,5,32,60,A209
49,ENG102-2025-2-01,8,5,26,60,B509
50,MTH102-2025-2-01,11,5,35,60,B502
51,CS102-2025-2-01,13,5,16,45,B405
52,CS203-2025-2-01,16,5,15,45,C406
53,CS204-2025-2-01,17,5,19,45,B402
54,SE202-2025-2-01,21,5,16,45,A110
55,DS202-2025-2-01,25,5,14,45,C503
56,DS203-2025-2-01,26,5,17,45,C401
57,BUS102-2025-2-01,30,5,20,45,A203
58,BUS103-2025-2-01,31,5,23,45,A508
59,BUS202-2025-2-01,33,5,2,45,C406
60,BUS203-2025-2-01,34,5,22,45,C104
61,ACC101-2025-2-01,37,5,2,45,A510
62,ACC202-2025-2-01,39,5,21,45,C103
63,ACC203-2025-2-01,40,5,22,45,A301
64,LNG103-2025-2-01,45,5,24,45,A210
65,LNG104-2025-2-01,46,5,26,45,B501
66,LNG203-2025-2-01,49,5,26,45,A311
67,LNG204-2025-2-01,50,5,26,45,A410
68,CE102-2025-2-01,54,5,29,45,B311
69,CE103-2025-2-01,55,5,30,45,B207
70,CE203-2025-2-01,58,5,31,45,B509
71,CE204-2025-2-01,59,5,30,45,C404
72,MTH101-2025-3-01,10,6,35,30,C401
73,SE202-2025-3-01,21,6,14,30,C108
74,BUS102-2025-3-01,30,6,2,30,B210
75,BUS202-2025-3-01,33,6,22,30,
76,GEN101-2026-1-01,1,7,34,60,C105
77,GEN103-2026-1-01,3,7,34,60,A307
78,GEN106-2026-1-01,6,7,33,60,C309
79,ENG101-2026-1-01,7,7,26,60,A504
80,ENG201-2026-1-01,9,7,24,60,A505
81,MTH101-2026-1-01,10,7,35,60,B102
82,CS101-2026-1-01,12,7,15,45,C506
83,CS201-2026-1-01,14,7,1,45,C108
84,CS202-2026-1-01,15,7,16,45,B501
85,CS301-2026-1-01,18,7,16,45,B201
86,CS302-2026-1-01,19,7,1,45,B205
87,SE201-2026-1-01,20,7,17,45,B202
88,SE301-2026-1-01,22,7,17,45,B205
89,SE302-2026-1-01,23,7,1,45,B204
90,DS201-2026-1-01,24,7,13,45,C309
91,DS301-2026-1-01,27,7,14,45,C307
92,DS302-2026-1-01,28,7,13,45,B407
93,BUS101-2026-1-01,29,7,23,45,B302
94,BUS201-2026-1-01,32,7,2,45,C504
95,BUS301-2026-1-01,35,7,22,45,A211
96,BUS302-2026-1-01,36,7,21,45,B308
97,ACC101-2026-1-01,37,7,22,45,B103
98,ACC201-2026-1-01,38,7,20,45,A406
99,ACC301-2026-1-01,41,7,21,45,B305
100,ACC302-2026-1-01,42,7,23,45,A108
101,LNG101-2026-1-01,43,7,26,45,C207
102,LNG102-2026-1-01,44,7,25,45,B105
103,LNG201-2026-1-01,47,7,25,45,B307
104,LNG202-2026-1-01,48,7,25,45,C411
105,LNG301-2026-1-01,51,7,24,45,A311
106,LNG302-2026-1-01,52,7,26,45,A208
107,CE101-2026-1-01,53,7,31,45,B510
108,CE201-2026-1-01,56,7,31,45,B505
109,CE202-2026-1-01,57,7,29,45,C111
110,CE301-2026-1-01,60,7,30,45,B203
111,CE302-2026-1-01,61,7,29,45,C106
