student_id,class_id,midterm_score,final_score,grade_value,letter_grade,registration_date
1,1,7.50,4.50,5.40,D+,2024-08-28
1,2,6.00,8.00,7.40,B,2024-08-28
1,3,5.00,8.00,7.10,B,2024-08-28
1,5,7.50,9.50,8.90,A,2024-08-28
1,9,7.00,8.75,8.20,B+,2025-02-07
1,10,6.00,8.25,7.60,B,2025-02-07
1,11,7.50,3.75,4.90,D,2025-02-07
1,13,7.50,6.50,6.80,C+,2025-02-07
1,14,7.00,7.75,7.50,B,2025-02-07
1,26,7.00,8.25,7.90,B,2025-08-20
1,28,7.00,6.25,6.50,C+,2025-08-20
1,36,7.50,8.00,7.90,B,2025-08-20
1,37,8.00,5.75,6.40,C,2025-08-20
1,47,6.50,9.00,8.30,B+,2026-02-02
1,48,7.50,9.75,9.10,A,2026-02-02
1,59,7.00,5.50,6.00,C,2026-02-02
1,60,7.50,5.75,6.30,C,2026-02-02
1,78,,,,,2026-08-20
1,95,,,,,2026-08-20
1,96,,,,,2026-08-20
2,1,7.50,5.50,6.10,C,2024-09-04
2,2,9.00,4.25,5.70,C,2024-09-04
2,3,6.00,8.25,7.60,B,2024-09-04
2,4,6.50,8.75,8.10,B+,2024-09-04
2,9,6.50,5.75,6.00,C,2025-02-08
2,10,5.00,9.25,8.00,B+,2025-02-08
2,11,8.00,10.00,9.40,A,2025-02-08
2,12,7.00,6.50,6.70,C+,2025-02-08
2,26,7.50,7.50,7.50,B,2025-08-23
2,28,6.00,8.00,7.40,B,2025-08-23
2,31,6.00,5.25,5.50,C,2025-08-23
2,32,7.50,4.50,5.40,D+,2025-08-23
2,47,8.50,8.00,8.20,B+,2026-02-10
2,48,8.00,9.25,8.90,A,2026-02-10
2,52,7.00,7.25,7.20,B,2026-02-10
2,53,6.50,6.50,6.50,C+,2026-02-10
2,78,,,,,2026-09-01
2,85,,,,,2026-09-01
2,86,,,,,2026-09-01
3,1,6.50,3.00,4.10,D,2024-09-11
3,2,5.50,7.50,6.90,C+,2024-09-11
3,3,6.00,3.25,4.10,D,2024-09-11
3,4,4.50,5.25,5.00,D+,2024-09-11
3,9,6.00,9.00,8.10,B+,2025-01-28
3,10,5.50,8.50,7.60,B,2025-01-28
3,11,5.00,4.25,4.50,D,2025-01-28
3,12,4.50,3.25,3.60,F,2025-01-28
3,24,7.00,4.50,5.30,D+,2025-07-02
3,26,7.50,6.00,6.50,C+,2025-08-30
3,28,7.50,6.75,7.00,B,2025-08-30
3,31,5.50,4.50,4.80,D,2025-08-30
3,33,6.50,7.75,7.40,B,2025-08-30
3,47,6.00,4.75,5.10,D+,2026-02-08
3,48,6.50,6.00,6.20,C,2026-02-08
3,53,4.50,4.00,4.20,D,2026-02-08
